,P1.Name,P2.Name,Round.Number,Winner.of.Match,Final.No.of.Games.Won.P1,Final.No.of.Games.Won.P2,First.serve.Percentage.P1,First.Serve.Won.P1,Second.Serve.Percentage.P1,Second.Serve.Won.P1,Aces.Won.P1,Double.Faults.P1,Winners.Earned.P1,Unforced.Errors.P1,Break.Points.Created.P1,Break.Points.Won.P1,Net.Points.Attempted.P1,Net.Points.Won.P1,Total.Points.P1,Set1.Result.P1,Set2.Result.P1,Set3.Result.P1,Set4.Result.P1,Set5.Result.P1,First.serve.Percentage.P2,First.Serve.Won.P2,Second.Serve.Percentage.P2,Second.Serve.Won.P2,Aces.Won.P2,Double.Faults.P2,Winners.Earned.P2,Unforced.Errors.P2,Break.Points.Created.P2,Break.Points.Won.P2,Net.Points.Attempted.P2,Net.Points.Won.P2,Total.Points.P2,Set1.Result.P2,Set2.Result.P2,Set3.Result.P2,Set4.Result.P2,Set5.Result.P2
1,B.Becker,A.Murray,1,0,0,3,59,29,41,14,5,1,26,18,5,1,28,19,20,4,3,2,NA,NA,57,39,43,20,11,2,38,16,10,5,23,17,22,6,6,6,NA,NA
2,J.Ward,Y-H.Lu,1,0,1,3,62,77,38,35,18,4,60,28,13,1,27,19,20,7,4,6,6,NA,67,85,33,31,12,3,57,32,15,2,46,39,41,6,6,7,7,NA
3,N.Mahut,J.Hajek,1,1,3,0,72,44,28,10,17,3,41,18,8,5,26,17,22,6,6,6,NA,NA,70,34,30,14,4,0,24,13,1,0,19,12,12,2,4,3,NA,NA
4,T.Robredo,A.Bogomolov Jr.,1,1,3,0,77,40,23,12,6,0,25,11,14,5,14,11,16,6,6,6,NA,NA,79,35,21,8,1,4,16,27,0,0,22,13,13,2,2,4,NA,NA
5,R.Haase,M.Youzhny,1,0,0,3,68,61,32,15,7,2,32,29,2,0,29,20,20,4,5,5,NA,NA,67,53,33,17,9,3,40,26,21,3,44,30,33,6,7,7,NA,NA
6,M.Gicquel,V.Pospisil,1,0,0,3,59,41,41,27,7,6,22,28,6,1,11,6,7,3,2,6,NA,NA,70,56,30,11,25,3,53,30,12,4,33,26,30,6,6,7,NA,NA
7,A.Kuznetsov,A.Montanes,1,1,3,1,63,56,37,21,21,3,56,32,16,4,21,15,19,6,6,3,6,NA,73,59,27,14,7,8,33,28,9,2,11,10,12,3,4,6,3,NA
8,J.Tipsarevic,V.Troicki,1,0,0,3,61,47,39,21,3,1,28,16,4,0,33,24,24,3,4,6,NA,NA,71,55,29,16,15,2,40,26,10,2,38,27,29,6,6,7,NA,NA
9,M.Baghdatis,M.Cilic,1,0,0,3,61,31,39,16,4,5,20,18,1,1,14,9,10,3,4,4,NA,NA,70,45,30,16,16,2,41,19,6,4,11,8,12,6,6,6,NA,NA
10,K.De Schepper,P.Lorenzi,1,1,3,0,67,56,33,21,22,6,61,29,8,3,47,35,38,7,6,6,NA,NA,54,40,46,22,4,2,22,15,6,0,23,15,15,6,4,2,NA,NA
